Economies,Year,Institutions,Human capital and research,Infrastructure,Market sophistication,Business sophistication,Knowledge and technology outputs,Creative outputs,Global Innovation Index,GNI per capita in current U.S. dollars ,GDP per capita ppp (current international $)
United Kingdom,2014,88.6,60.3,60.6,81.4,50.2,56.4,56.6,62.4,44670,41580.60249
United Kingdom,2015,87.3,57.5,63,74.3,53.6,54.9,60.5,62.4,44730,42912.87509
United Kingdom,2016,87.6,62.6,66.4,71.6,49.2,50.2,62.5,61.9,43460,44635.29956
United Kingdom,2017,88.4,63.3,67.1,70.2,52.2,46.5,60.5,60.9,41880,46372.3866
United Kingdom,2018,87.4,61.3,65.8,72,53,48.2,56.5,60.1,42410,47573.48802
United Kingdom,2019,87.1,59.3,64.4,76,54.3,56.6,52.2,61.3,43460,49041.46355
United Kingdom,2020,86.1,58,60.3,74.4,51,54.4,52.7,59.8,39970,46526.91187
United Kingdom,2021,86.6,58.2,59.7,78.1,49.7,52.3,54,59.8,45380,49675.30467
United Kingdom,2022,74.5,61.5,62.9,67.6,51.7,55.7,55.9,59.7,,
United States of America,2011,86.5,57.4,44.6,70.9,54.8,57.4,43.2,56.57,50620,50065.9665
United States of America,2012,85.1,53.4,56.1,76.8,59.9,56.1,42.2,57.7,52790,51784.41857
United States of America,2013,86,61.1,52.5,87.1,59.2,53.6,49.2,60.3,53990,53291.12769
United States of America,2014,86.2,58.3,57.5,83.8,53.7,58.1,46.5,60.1,55800,55123.84979
United States of America,2015,86.8,54,58.8,81.5,55.4,58,47.8,60.1,56620,56762.72945
United States of America,2016,85.7,57,61.7,86.6,52.4,56.5,51.6,61.4,57140,57866.74493
United States of America,2017,86.2,57.2,61,83.4,56.4,54.4,53.5,61.4,59250,59914.7778
United States of America,2018,87.7,51.3,58.8,85.1,56.1,55.6,48,59.8,63490,62805.25376
United States of America,2019,89.7,55.7,59.2,87,62.7,59.7,45.5,61.7,65970,65094.79943
United States of America,2020,88.9,56.3,54.7,81.4,62.8,56.8,47.7,60.6,64140,63027.67953
United States of America,2021,87.6,58.1,55.3,81.5,63,59.2,47.8,61.3,70430,69287.53659
United States of America,2022,80.9,59.9,58.7,80.8,64.5,60.8,48.4,61.8,,
